# T1_us, F_TT_X01, F_TT_X12, infid_X01, infid_X12
1.000000000000000000e+00,9.585815890473938783e-01,9.615837718408624113e-01,4.141841095260612171e-02,3.841622815913758870e-02
1.584893192461113598e+00,9.731160706613530831e-01,9.753630150679272193e-01,2.688392933864691692e-02,2.463698493207278073e-02
2.511886431509580131e+00,9.824741075903267173e-01,9.842804246887029151e-01,1.752589240967328266e-02,1.571957531129708485e-02
3.981071705534973137e+00,9.884545836564841981e-01,9.899988754640178801e-01,1.154541634351580193e-02,1.000112453598211992e-02
6.309573444801933384e+00,9.922584709304594908e-01,9.936439108096926098e-01,7.741529069540509234e-03,6.356089190307390169e-03
1.000000000000000000e+01,9.946710653409841507e-01,9.959587995269567617e-01,5.328934659015849284e-03,4.041200473043238262e-03
1.584893192461114175e+01,9.961978001258509074e-01,9.974253345276817839e-01,3.802199874149092551e-03,2.574665472318216075e-03
2.511886431509580930e+01,9.971636364633607030e-01,9.983529463762177425e-01,2.836363536639296967e-03,1.647053623782257503e-03
3.981071705534973404e+01,9.977732569658821493e-01,9.989391897368968820e-01,2.226743034117850684e-03,1.060810263103117990e-03
6.309573444801932851e+01,9.981583039597599072e-01,9.993095375313603146e-01,1.841696040240092813e-03,6.904624686396854116e-04
1.000000000000000000e+02,9.984015214302630614e-01,9.995433344512881790e-01,1.598478569736938582e-03,4.566655487118209678e-04
1.584893192461114211e+02,9.985549860843512260e-01,9.996909099212312189e-01,1.445013915648774017e-03,3.090900787687811402e-04
2.511886431509582280e+02,9.986517877055265391e-01,9.997840477846523521e-01,1.348212294473460915e-03,2.159522153476478579e-04
3.981071705534973262e+02,9.987128945711463146e-01,9.998428236210659126e-01,1.287105428853685396e-03,1.571763789340874240e-04
6.309573444801936830e+02,9.987515015890561232e-01,9.998799121440399285e-01,1.248498410943876813e-03,1.200878559600715434e-04
1.000000000000000000e+03,9.987758324366582396e-01,9.999033152843788130e-01,1.224167563341760356e-03,9.668471562118696738e-05
