gate,control,target_in,P0,P1,P2
C1X12,0,0,1.0000,0.0000,0.0000
C1X12,0,1,0.0033,0.9220,0.0747
C1X12,0,2,0.0002,0.1101,0.8897
C1X12,1,0,0.9967,0.0032,0.0001
C1X12,1,1,0.0019,0.0151,0.9831
C1X12,1,2,0.0017,0.9709,0.0274
C1X12,2,0,0.9978,0.0013,0.0009
C1X12,2,1,0.0000,0.6933,0.3067
C1X12,2,2,0.0000,0.4392,0.5608
C2X01,0,0,0.9957,0.0043,0.0000
C2X01,0,1,0.0068,0.9931,0.0000
C2X01,0,2,0.0018,0.0034,0.9948
C2X01,1,0,0.9182,0.0800,0.0018
C2X01,1,1,0.0801,0.9164,0.0035
C2X01,1,2,0.0085,0.0062,0.9852
C2X01,2,0,0.0371,0.9546,0.0083
C2X01,2,1,0.9673,0.0265,0.0061
C2X01,2,2,0.0000,0.0001,0.9999
C2X12,0,0,1.0000,0.0000,0.0000
C2X12,0,1,0.0079,0.9913,0.0008
C2X12,0,2,0.0000,0.0125,0.9875
C2X12,1,0,0.9923,0.0077,0.0000
C2X12,1,1,0.0000,0.9601,0.0399
C2X12,1,2,0.0001,0.0422,0.9578
C2X12,2,0,0.9999,0.0000,0.0000
C2X12,2,1,0.0000,0.0355,0.9645
C2X12,2,2,0.0000,0.9441,0.0558
