# T1_us, F_C1X12, F_C2X01, F_C2X12
1.000000000000000000e+00,1.972745954180984140e-01,6.044677295534661710e-01,3.432192791056265513e-01
1.778279410038922759e+00,3.777742106074307160e-01,7.405958454229346621e-01,5.006380041237494805e-01
3.162277660168379523e+00,5.655708505557314192e-01,8.318995577239266526e-01,6.492924253263319123e-01
5.623413251903491172e+00,7.175304304608979278e-01,8.886192768052270097e-01,7.640187490408928417e-01
1.000000000000000000e+01,8.229221440748323291e-01,9.223556588198146278e-01,8.417371243579488960e-01
1.778279410038922848e+01,8.897064978216762121e-01,9.419375395224696135e-01,8.903939411993146980e-01
3.162277660168379256e+01,9.298893576373292724e-01,9.531480924148232337e-01,9.194833845973977571e-01
5.623413251903490817e+01,9.533649003125949095e-01,9.595146741443977279e-01,9.364191622567547002e-01
1.000000000000000000e+02,9.668531389374390717e-01,9.631139604027715295e-01,9.461313726794698953e-01
1.778279410038922776e+02,9.745305679094995455e-01,9.651451996341431361e-01,9.516536278511567026e-01
3.162277660168379612e+02,9.788773833235949740e-01,9.662897271190676873e-01,9.547783809677437006e-01
5.623413251903490391e+02,9.813311581551454887e-01,9.669340465055370482e-01,9.565417262499147366e-01
1.000000000000000000e+03,9.827140364704582964e-01,9.672972000117553426e-01,9.575353021842436529e-01
